"type","height","reward","op_id","time","cycle","is_success","is_event","confirmations","volume","sender"
"delegation","7121330","","466703483074","Fri Nov 15 2024 15:30:15 GMT+0800 (中国标准时间)","799","true","","593","1967.867757","tz1NW6E9iSorSwL7Fstxoe2zgjNMKLoXF4Q6"
"delegation","7120914","","466676220092","Fri Nov 15 2024 14:19:55 GMT+0800 (中国标准时间)","799","true","","1009","16.22761","tz1gVkEhbqyD8fMh3R26WMPCiSZjp5aqJJ51"
"delegation","7120866","","466673074380","Fri Nov 15 2024 14:11:55 GMT+0800 (中国标准时间)","799","true","","1057","16.22761","tz1gVkEhbqyD8fMh3R26WMPCiSZjp5aqJJ51"
"delegation","7120354","","466639519944","Fri Nov 15 2024 12:46:05 GMT+0800 (中国标准时间)","799","false","","1569","","tz1gFsCQ7ArQJT5TmQHFKJDXMHrnSMsSbJ8x"
"delegation","7120271","","466634080439","Fri Nov 15 2024 12:32:00 GMT+0800 (中国标准时间)","799","true","","1652","5.362681","tz1YFBuLVnp6XDSihTMfveVWRgh5nBayCbGE"
"delegation","7120193","","466628968631","Fri Nov 15 2024 12:18:45 GMT+0800 (中国标准时间)","799","true","","1730","3.063339","tz1TXUP5b92xkC9i37fMTUkxrXUAFFWSCjYG"
"delegation","7120128","","466624708811","Fri Nov 15 2024 12:07:40 GMT+0800 (中国标准时间)","799","true","","1795","48.157688","tz1WdYFwTsx4NpHftnQiTT6ZDzbGrian6hGo"
"delegation","7119802","","466603344059","Fri Nov 15 2024 11:13:05 GMT+0800 (中国标准时间)","799","true","","2121","122.837447","tz1NCuF1u1nj4tbUedzjouoRBpGXHnhVttdw"
"delegation","7119364","","466574639302","Fri Nov 15 2024 09:58:35 GMT+0800 (中国标准时间)","799","true","","2559","1.302352","tz1U94bpftgApQRVvrV89dbqnb7LCVf478D7"
"delegation","7118984","","466549735618","Fri Nov 15 2024 08:52:55 GMT+0800 (中国标准时间)","799","true","","2939","31.86988","tz1RnnbWjqoYKMRTXASWXueSQjJBppemiDRQ"
"delegation","7118967","","466548621494","Fri Nov 15 2024 08:50:05 GMT+0800 (中国标准时间)","799","true","","2956","31.870487","tz1RnnbWjqoYKMRTXASWXueSQjJBppemiDRQ"
"delegation","7118721","","466532499656","Fri Nov 15 2024 08:08:35 GMT+0800 (中国标准时间)","799","true","","3202","3.155754","tz1ThcyaZ3kH1AdWe9PYLR58zEFui4r95R1q"
"delegation","7118488","","466517229763","Fri Nov 15 2024 07:29:15 GMT+0800 (中国标准时间)","799","true","","3435","39.363831","tz1cJ3YMYi53T2GARxPtd9c4QDgBDajJP5dK"
"delegation","7118314","","466505826501","Fri Nov 15 2024 07:00:00 GMT+0800 (中国标准时间)","799","true","","3609","38.036104","tz1MxSR17CpkHx9499svyDQLu7Zwm8vMrYhP"
"delegation","7118272","","466503073979","Fri Nov 15 2024 06:52:45 GMT+0800 (中国标准时间)","799","true","","3651","114.277341","tz1Ps86RXPLEM8MVCMJyM4D969jUbEt46NiY"
"delegation","7118225","","466499993789","Fri Nov 15 2024 06:44:55 GMT+0800 (中国标准时间)","799","true","","3698","32.700669","tz1W84qAiRhMhsed9BnqLjpqUjXCzWgGU3fd"
"delegation","7117640","","466461655237","Fri Nov 15 2024 05:06:55 GMT+0800 (中国标准时间)","799","true","","4283","23.194798","tz1WnFVdCUof5gMBmHyZbfRAgGYhPtNUG7AA"
"delegation","7117599","","466458968259","Fri Nov 15 2024 05:00:05 GMT+0800 (中国标准时间)","799","true","","4324","1.924081","tz1RsNovZZj6M3CH69Wj1VNHM1aXE3PhH5dN"
"delegation","7117530","","466454446279","Fri Nov 15 2024 04:48:35 GMT+0800 (中国标准时间)","799","true","","4393","4.687563","tz1h4deJLTR7YdsjdD9HNKNr9upGWc1fTvWa"
"delegation","7117393","","466445467844","Fri Nov 15 2024 04:25:45 GMT+0800 (中国标准时间)","799","true","","4530","994.710241","tz1XRuX3pEeHgF5r4rvY3YsUAJDZW4f2PcRz"
