"type","height","reward","op_id","time","cycle","is_success","is_event","confirmations","volume","sender"
"delegation","7045463","","461731463364","Wed Nov 06 2024 19:18:30 GMT+0800 (中国标准时间)","796","true","","76425","193.534495","tz1hmjuGySQkbh5txGfc7RZJdgoKW7QRLDir"
"delegation","7023081","","460264636611","Mon Nov 04 2024 04:47:55 GMT+0800 (中国标准时间)","795","true","","98807","0.247955","tz1eteEGegT28SkJNhUNRDbZtGmEgdUFcSQg"
"delegation","6967557","","456625815750","Mon Oct 28 2024 17:50:15 GMT+0800 (中国标准时间)","793","true","","154331","0.002529","tz2L7HoRtCtFWENSiKWTcNBN7xhaFftZVWan"
"delegation","6919016","","453444632778","Wed Oct 23 2024 02:10:50 GMT+0800 (中国标准时间)","791","true","","202872","2.474838","tz1hHwE3pf5nKpSBb6vnnhk83ySYfHzwcWYw"
"delegation","6718934","","440332058812","Sun Sep 29 2024 19:20:45 GMT+0800 (中国标准时间)","783","true","","402954","44.363137","tz1RMb9ec6Cc4m7Yd5EiEiVpsqgfLyb6pxjZ"
"delegation","6441562","","422154207440","Wed Aug 28 2024 12:09:20 GMT+0800 (中国标准时间)","772","true","","680326","381.962701","tz1Q8PUecgD5XCoh6yxsE9EDw8PszUK2yTie"
"delegation","6200305","","406343188674","Wed Jul 31 2024 10:39:10 GMT+0800 (中国标准时间)","762","true","","921583","0.395797","tz1axgFJToEZH48t3Aan1tg1bVMFQVpi7qBz"
"delegation","6198933","","406253273284","Wed Jul 31 2024 06:48:15 GMT+0800 (中国标准时间)","762","true","","922955","0.008583","tz1XnQGDmKowCbJ1Kwa4MdbyzZRbiYK9KCBk"
"delegation","6121437","","401174495431","Mon Jul 22 2024 05:49:00 GMT+0800 (中国标准时间)","759","true","","1000451","0.146526","tz1c1ariotbsHmxqciU4C17qWetAyiaUEppL"
"delegation","5999005","","393150791873","Sun Jul 07 2024 21:12:40 GMT+0800 (中国标准时间)","754","true","","1122883","52.945549","tz1My1j6RAAPwDw8sdrfGT5GWyFrwnNj3aQE"
"delegation","5919614","","387947823282","Fri Jun 28 2024 08:18:40 GMT+0800 (中国标准时间)","750","true","","1202274","0.152026","tz1c1ariotbsHmxqciU4C17qWetAyiaUEppL"
"delegation","5887695","","385855979711","Mon Jun 24 2024 09:29:15 GMT+0800 (中国标准时间)","749","true","","1234193","5.531362","tz1S6iFY624czCZZ9xP2NXYwoMwWZ3XxjPC1"
"delegation","5884924","","385674379461","Mon Jun 24 2024 01:34:05 GMT+0800 (中国标准时间)","749","true","","1236964","","tz1UJs3VwbzqGMYHhpEg95z6YgN8vA4pcc7a"
"delegation","5876502","","385122435270","Sun Jun 23 2024 01:32:00 GMT+0800 (中国标准时间)","749","true","","1245386","2008.392607","tz1iFZxyfKyaWoefCCTmJFgkwmDyknxuqCSb"
"delegation","5833280","","382289838286","Mon Jun 17 2024 22:28:40 GMT+0800 (中国标准时间)","747","true","","1288608","38.251132","tz1PwbD8eRKHnvsYkaeo84VPWgFKhCmjYtLt"
"delegation","5793562","","379686879428","Thu Jun 13 2024 05:36:20 GMT+0800 (中国标准时间)","745","true","","1328326","1108.025108","tz1cVf8xNCZBtfwgv3yzNq2PJrG9QWWmi6on"
"delegation","5759395","","377447710925","Sun Jun 09 2024 05:09:35 GMT+0800 (中国标准时间)","744","true","","1362493","104.739816","KT1D9PA7tvuCe9XnDskd2F67XwdrT4ueqjGe"
"delegation","5737980","","376044257466","Thu Jun 06 2024 15:58:10 GMT+0800 (中国标准时间)","743","true","","1383908","423.780474","tz1anktMkH5EkPmhxmQJqfEq9VQouwxWgoRL"
"delegation","5719103","","374807134419","Mon Jun 03 2024 23:27:25 GMT+0800 (中国标准时间)","742","true","","1402785","2.317189","tz1eG3ippYCaYpfL25n7t9WfYCFt7bX9HJyE"
"delegation","5700031","","373557231827","Fri May 31 2024 15:14:14 GMT+0800 (中国标准时间)","741","true","","1421857","2.664334","tz1V6booxK7kKm2Xb8WeqiiaRaR19F3Me5aW"
