"type","height","reward","op_id","time","cycle","is_success","is_event","confirmations","volume","sender"
"delegation","6727679","","440905171135","Mon Sep 30 2024 19:46:35 GMT+0800 (中国标准时间)","783","true","","394249","14553.574095","tz1UhmBzmdmVHjcuqr37faNjNd1PhENG9e9P"
"delegation","5995858","","392944550085","Sun Jul 07 2024 12:17:30 GMT+0800 (中国标准时间)","753","true","","1126070","20","tz1eDBBtSsJesfwVNr33FoHD71CEEDXBsse6"
"delegation","5561999","","364511166666","Tue May 07 2024 12:13:16 GMT+0800 (中国标准时间)","732","true","","1559929","90.402829","tz1XX7njK3auvw8oVBD7XaEagCX4bU8GhQjy"
"delegation","5560591","","364418891981","Tue May 07 2024 06:20:53 GMT+0800 (中国标准时间)","732","true","","1561337","0.930913","tz1LmDY1Wqvnjj5fkQoRaoYLUvqJR3LMoXZx"
"delegation","5446369","","356933238991","Wed Apr 17 2024 06:22:07 GMT+0800 (中国标准时间)","725","true","","1675559","163.839707","tz1MU7RcWxRG9GGcsMZHzr8v2GjAsCVQpv8u"
"delegation","5350800","","350670029007","Sun Mar 31 2024 12:57:27 GMT+0800 (中国标准时间)","720","true","","1771128","1.767891","tz1TKHFg3wGa5AoSQWdE35cKyAopwZ73Mj3B"
"delegation","5290973","","346749206731","Wed Mar 20 2024 23:55:45 GMT+0800 (中国标准时间)","716","true","","1830955","71.953335","tz1V6NrJQHtVz1PjVBwgX6TXDAcFuuNdtpxJ"
"delegation","5202538","","340953530592","Tue Mar 05 2024 09:11:57 GMT+0800 (中国标准时间)","711","true","","1919390","0.933913","tz1LmDY1Wqvnjj5fkQoRaoYLUvqJR3LMoXZx"
"delegation","5161586","","338269700309","Mon Feb 26 2024 12:30:55 GMT+0800 (中国标准时间)","708","true","","1960342","1034.043452","tz1eXXwKavb9FpQz86ncffVsd5YaVKemdP4V"
"delegation","5036254","","330055942359","Sat Feb 03 2024 17:54:24 GMT+0800 (中国标准时间)","700","true","","2085674","20.999655","tz1Sctwnf37aLbrs2MoRWV8C1ScrhcvENK9C"
"delegation","5026280","","329402286281","Thu Feb 01 2024 23:46:24 GMT+0800 (中国标准时间)","700","true","","2095648","72.582049","tz1aPLZWzfWDefZ1DGbknfC9aidDHhMMjoyF"
"delegation","4784802","","313576784089","Thu Dec 21 2023 12:43:39 GMT+0800 (中国标准时间)","685","true","","2337126","13.702588","tz1RuixR8qteUMNw1um6mr6BGGwJbSNgXGi5"
"delegation","4735972","","310376661213","Tue Dec 12 2023 23:30:17 GMT+0800 (中国标准时间)","682","true","","2385956","217.649006","tz1MM3esnGETVBY4vzptjAFm5nkCvb272e2X"
"delegation","4668545","","305957765335","Fri Dec 01 2023 01:43:14 GMT+0800 (中国标准时间)","678","true","","2453383","1378.1595","tz1UTxdyoyUomK4BRmkscHWXenp6ZUUck44e"
"delegation","4189666","","274573951205","Fri Sep 08 2023 00:11:05 GMT+0800 (中国标准时间)","649","true","","2932262","0.19125","tz1aBaDnD5xXLspRBToQnMrfHc7dpgt4jp1m"
"delegation","3960632","","259563978965","Sat Jul 29 2023 17:20:39 GMT+0800 (中国标准时间)","635","true","","3161296","0.0125","tz1hogAvNgZ4XHYEEvKwCDXtj6cyaECdkuRU"
"delegation","3764509","","246710862017","Sun Jun 25 2023 03:10:45 GMT+0800 (中国标准时间)","623","true","","3357419","6.021846","tz1XaGaPSNsj8iEFNMNKEDB3MEoMbHrpjFbs"
"delegation","3724880","","244113735908","Sun Jun 18 2023 03:33:15 GMT+0800 (中国标准时间)","620","true","","3397048","100.915605","tz1YDjkB7y3viZ8JA3BR3NoC6QEmRxAM98m9"
"delegation","3712492","","243301875945","Thu Jun 15 2023 23:23:09 GMT+0800 (中国标准时间)","620","true","","3409436","199.169564","KT1HLR18sswMBjD3RGka7KGivean5pwTbDvC"
"delegation","3676834","","240964993249","Fri Jun 09 2023 16:47:22 GMT+0800 (中国标准时间)","617","true","","3445094","119.486688","KT1WN8NmCk21M3KK559cLj1455WFfkqR5r77"
