"type","height","reward","op_id","time","cycle","is_success","is_event","confirmations","volume","sender"
"delegation","7120006","","466616713401","Fri Nov 15 2024 11:47:20 GMT+0800 (中国标准时间)","799","true","","1857","0.234827","tz1bUHRix388kuuUibuPt261D4vvbbPLna6o"
"delegation","7119998","","466616189133","Fri Nov 15 2024 11:45:45 GMT+0800 (中国标准时间)","799","true","","1865","0.235432","tz1bUHRix388kuuUibuPt261D4vvbbPLna6o"
"delegation","7104896","","465626464446","Wed Nov 13 2024 17:29:50 GMT+0800 (中国标准时间)","799","true","","16967","5.445477","tz1LH59jkNLEJi2QX4qMYZatYJZyjbT1Ewi9"
"delegation","7092898","","464840163526","Tue Nov 12 2024 07:55:25 GMT+0800 (中国标准时间)","798","true","","28965","5.445758","tz1LH59jkNLEJi2QX4qMYZatYJZyjbT1Ewi9"
"delegation","7092088","","464787079356","Tue Nov 12 2024 05:40:25 GMT+0800 (中国标准时间)","798","true","","29775","159.165834","tz1LUqguDivxgbi6d94AuwDfoF2MtS5Mb9p9"
"delegation","7068043","","463211266246","Sat Nov 09 2024 10:21:40 GMT+0800 (中国标准时间)","797","true","","53820","34.734064","tz1LoZcYPnCDoCxNAZun51vjyPHWNa4e7Mjd"
"delegation","7065057","","463015575745","Sat Nov 09 2024 02:02:00 GMT+0800 (中国标准时间)","797","true","","56806","556.258491","tz1Tggkb3Tuk4HT9rMHCP6RRLeqoQxGK4Zha"
"delegation","7063706","","462927036609","Fri Nov 08 2024 22:16:20 GMT+0800 (中国标准时间)","797","true","","58157","51.645186","tz2LBPSRY1oK4nFKmFvVb1JFcfT2sTXzadkM"
"delegation","7063682","","462925463748","Fri Nov 08 2024 22:12:20 GMT+0800 (中国标准时间)","797","true","","58181","51.645723","tz2LBPSRY1oK4nFKmFvVb1JFcfT2sTXzadkM"
"delegation","7061647","","462792097979","Fri Nov 08 2024 16:32:40 GMT+0800 (中国标准时间)","797","true","","60216","3.06597","tz1NLNLNAyYWuWtukz7huNvTa4o7igTg98vf"
"delegation","7060052","","462687568078","Fri Nov 08 2024 12:05:20 GMT+0800 (中国标准时间)","797","true","","61811","51.645723","tz2LBPSRY1oK4nFKmFvVb1JFcfT2sTXzadkM"
"delegation","7056750","","462471168191","Fri Nov 08 2024 02:53:00 GMT+0800 (中国标准时间)","797","true","","65113","13512.034722","tz1RmK4sABnhhjiogAESZkjnFG27jgaJmdEM"
"delegation","7055991","","462421426385","Fri Nov 08 2024 00:46:00 GMT+0800 (中国标准时间)","797","true","","65872","103.03936","tz1MwDRxB3Bb5siKEJGdSKnroC9UqisocoTP"
"delegation","7053996","","462290682051","Thu Nov 07 2024 19:12:00 GMT+0800 (中国标准时间)","797","true","","67867","322.542202","tz2UfR8qPkTxdqVUovAeApHdqFqWAJGjaBz9"
"delegation","7052838","","462214791354","Thu Nov 07 2024 15:52:55 GMT+0800 (中国标准时间)","796","true","","69025","19254.258976","KT1S4iZ88mP7xz9qydHcEy5UraQSYLFiQV9j"
"delegation","7038510","","461275791561","Tue Nov 05 2024 23:51:35 GMT+0800 (中国标准时间)","796","true","","83353","2.329437","tz1YH2AMxUEue2kwXP5VDyiLa4VQr9ADSAoj"
"delegation","7012618","","459578933451","Sat Nov 02 2024 23:36:10 GMT+0800 (中国标准时间)","795","true","","109245","1.605522","tz2RUQu7qmJMGjGdnwjbhK4AHNcghRLGpdsn"
"delegation","7002618","","458923573440","Fri Nov 01 2024 19:39:15 GMT+0800 (中国标准时间)","794","true","","119245","3.839302","tz1bUHRix388kuuUibuPt261D4vvbbPLna6o"
"delegation","6992087","","458233413818","Thu Oct 31 2024 14:16:30 GMT+0800 (中国标准时间)","794","true","","129776","0.84463","tz1bUHRix388kuuUibuPt261D4vvbbPLna6o"
"delegation","6992079","","458232889533","Thu Oct 31 2024 14:15:10 GMT+0800 (中国标准时间)","794","true","","129784","0.844943","tz1bUHRix388kuuUibuPt261D4vvbbPLna6o"
