baker,status,reliability,staking_fee,min_delegation,min_payout,delegation_capacity,network_share,share_cumulative
tz1hcDWEF9wtcc6p81wsbJu52qFzZPxrXMge,open,0.9961,0.08,1,0.01,-13128.4853,0.00017,0.00017
tz1ewtWje28RQJrRnaKzJi5BVgdG3UTYeC59,open,0.9957,0.15,0,0,57093.92864400001,0.00003,0.0002
tz1RQBCiyXKZimFoRaw5x3XwRQEvX8AM3k4Z,open,0.995,0.075,100,0,32685.56433,0.00005,0.00025
tz1NRGxXV9h6SdNaZLcgmjuLx3hyy2f8YoGN,open,0.9939,0.09,100,0,14533.757851999995,0.00019,0.00044
tz1MKkLaFh39wnY1mEa2LoHJVWgUPeUwBRpM,open,0.9914,0.1,0,0,15158.49979,0.00003,0.00047
tz1h4ar7F5wC6Ae2cfkrmrRP6nrPk9gGFaxg,open,0.9913,0.1,0,0,47747.10687,0.00012,0.00059
tz1aU7vU1iR21k6CAB7RZ6kQKu4MHZo6pCnN,open,0.9911,0.08,0,0,63807.18775800001,0.00004,0.00063
tz1XBiMXZr3bt93jkayZrYYLeMq5dteCqRF3,open,0.9909,0.09,5,0,154218.893,0.00007,0.0007
tz1R4PuhxUxBBZhfLJDx2nNjbr7WorAPX1oC,open,0.9901,0.1,10,0,1881081.965,0.00106,0.00176
tz1V1LGi1uDoZNr7XFHY4gE2jsqq9ckN4shr,open,0.9888,0.1,100,1,74089.83973400001,0.00002,0.00178
tz1X69UV5ddc3mkGhVHeU2JLN8KohKvAF9Qm,open,0.9881,0.04,100,0.01,18864.99849,0.00006,0.00184
tz1NbozojgerqFxryG1bib6ydUH7j7ZjY7eQ,open,0.9839,0.05,10,0.001,470149.88011499995,0.00024,0.00208
tz1bYemsZHPzL3qUkQ5Ao3bze5viTfd8v7Lj,open,0.9827,0.03,0,0,750382.4377,0.00013,0.00221
tz1hk59GLCY65onRt4vT75d57CMVutsLtFsx,open,0.9825,0.1,1,0,1267049.32,0.00048,0.00269
tz1QHEAXGd4DFPBc5yq5gxQw99fTvNEmpKLE,open,0.9816,0.06,0,0,107737.994,0.00006,0.00275
tz1fazA9hbHB2Z6nntT9UhdGsAXTcfzzvDpj,open,0.9814,0.05,0,0,6381.292339000001,0.00002,0.00277
tz1Xr1oSHktk4Gms6XByJDvJgTRrAArS3tVe,open,0.9813,0.1,20,0,79593.67774,0.00002,0.00279
tz1VQnqCCqX4K5sP3FNkVSNKTdCAMJDd3E1n,open,0.981,0.1,1000,0,22804767.25,0.06166,0.06445
tz1STeamwbp68THcny9zk3LsbG3H36DMvbRK,open,0.981,0.099,0,0,785693.3158200001,0.00055,0.065
tz1aqcYgG6NuViML5vdWhohHJBYxcDVLNUsE,open,0.981,0.149,1,0,-24486.78474,0.0003,0.0653
tz1LLNkQK4UQV6QcFShiXJ2vT2ELw449MzAA,open,0.981,0.25,100,0.25,82584.29333000001,0.00019,0.06549
tz2FCNBrERXtaTtNX6iimR1UJ5JSDxvdHM93,open,0.9809,0.08,0,0,208520.31062499806,0.0135,0.07899
tz1WnfXMPaNTBmH7DBPwqCWs9cPDJdkGBTZ8,open,0.9809,0.08,10,0,813967.8795,0.00501,0.084
tz1KzSC1J9aBxKp7u8TUnpN8L7S65PBRkgdF,open,0.9809,0.1,0,0,54300.22402900003,0.00066,0.08466
tz1RCFbB9GpALpsZtu6J58sb74dm8qe6XBzv,open,0.9808,0.1,0,0,4934685.047,0.01461,0.09927
tz1fUyqYH7H4pRHN1roWY17giXhy1RvxjgUV,open,0.9808,0.03,10,0,145477.81750400015,0.00105,0.10031999999999996
tz1Lhf4J9Qxoe3DZ2nfe8FGDnvVj7oKjnMY6,open,0.9807,0.15,60,0,1160167.646,0.00236,0.10267999999999997
tz1gjwq9ybKEmqQrTmzCoVB3HESYV1Ekc5up,open,0.9807,0.0777,100,0,261920.7145450001,0.00254,0.10521999999999997
tz1YhNsiRRU8aHNGg7NK3uuP6UDAyacJernB,open,0.9807,0.08,1000,0,1325175.973,0.00075,0.10596999999999997
tz1P2Po7YM526ughEsRbY4oR9zaUPDZjxFrb,open,0.9806,0.0995,0,0,-232075.5013,0.02866,0.13462999999999997
tz1XXayQohB8XRXN7kMoHbf2NFwNiH3oMRQQ,open,0.9806,0.08,0,0,943387.2627,0.00203,0.13665999999999998
tz1Kf25fX1VdmYGSEzwFy1wNmkbSEZ2V83sY,open,0.9806,0.07,100,0,-58705.8448,0.00233,0.13898999999999997
tz1SohptP53wDPZhzTWzDUFAUcWF6DMBpaJV,open,0.9806,0.15,100,0,-72443.80816,0.00165,0.14064
tz1aRoaRhSpRYvFdyvgWLL6TGyRoGF51wDjM,open,0.9805,0.15,0,0,8576797.856462002,0.07002,0.21066
tz1gcna2xxZj2eNp1LaMyAhVJ49mEFj4FH26,open,0.9805,0.0575,5,5,140798.37655999998,0.00039,0.21105
tz1gVC3dVsJWk6jiZSeQnGj2QAJWS84pA8VE,open,0.9805,0.07,10,0,35215.452378999995,0.00018,0.21123
tz1dbfppLAAxXZNtf2SDps7rch3qfUznKSoK,open,0.9804,0.08,0,0,405271.98260900006,0.00258,0.21381
tz1bHKi24yP4kDdjtbzznfrsjLR93yZvUkBR,open,0.9804,0.0499,5,0,-399976.2454,0.00458,0.21839
tz1fwnfJNgiDACshK9avfRfFbMaXrs3ghoJa,open,0.9804,0.1498,5,0,14929.827229000162,0.0027,0.22109
tz1aJHKKUWrwfsuoftdmwNBbBctjSWchMWZY,open,0.9802,0.075,0,0.01,55521.09090400004,0.00048,0.22157000000000002
tz1XjsQfzmaxNsbuHjuZHAcuUukVGRq4tg24,open,0.98,0.02,0,0,202720.79257299996,0.00048,0.22205000000000003
